gcs_path	production_gcs_path	change_type	old_version	new_version	exit_code	local_md5	remote_md5	verified	old_version_removed
gs://pre-cawg/staging_20260511/clinical-chemistry/metadata/human-precovid-sed-adu_t02-plasma_clinical-chemistry_metadata_features_v1.4.txt	NA	ADDED	NA	1.4	0	201bb84dbfbcf631a4019d299503636a	201bb84dbfbcf631a4019d299503636a	TRUE	NA
gs://pre-cawg/staging_20260511/clinical-chemistry/metadata/human-precovid-sed-adu_t02-plasma_clinical-chemistry_metadata_samples_v1.4.txt	NA	ADDED	NA	1.4	0	899b8a8503f6cd6ea9d85bd1ebc6ab95	899b8a8503f6cd6ea9d85bd1ebc6ab95	TRUE	NA
gs://pre-cawg/staging_20260511/clinical-chemistry/qc-norm/human-precovid-sed-adu_t02-plasma_clinical-chemistry_qc-norm_log2-transformed_v1.4.txt	NA	ADDED	NA	1.4	0	b2f0ac0c55bc221296239910c2dd0e5f	b2f0ac0c55bc221296239910c2dd0e5f	TRUE	NA
gs://pre-cawg/staging_20260511/epigenomics/metadata/human-precovid-sed-adu_t03-edta_epigen-methylcap-seq_metadata_features_v1.4.txt	NA	ADDED	NA	1.4	0	421ddf7daa1a314cd482915256c713f7	421ddf7daa1a314cd482915256c713f7	TRUE	NA
gs://pre-cawg/staging_20260511/epigenomics/metadata/human-precovid-sed-adu_t05-pbmc_epigen-atac-seq_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/epigenomics/metadata/human-precovid-sed-adu_t05-pbmc_epigen-atac-seq_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	bc8fb39fa146dfe9e5f59c423353a473	bc8fb39fa146dfe9e5f59c423353a473	TRUE	TRUE
gs://pre-cawg/staging_20260511/epigenomics/metadata/human-precovid-sed-adu_t06-muscle_epigen-atac-seq_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/epigenomics/metadata/human-precovid-sed-adu_t06-muscle_epigen-atac-seq_metadata_features_v1.2.txt	MODIFIED	1.2	1.4	0	5a7b87f978e9c63e0b7b6834421d8d77	5a7b87f978e9c63e0b7b6834421d8d77	TRUE	TRUE
gs://pre-cawg/staging_20260511/epigenomics/metadata/human-precovid-sed-adu_t06-muscle_epigen-methylcap-seq_metadata_features_v1.4.txt	NA	ADDED	NA	1.4	0	873649c1ba6c7e7b119a98d3b7b6683a	873649c1ba6c7e7b119a98d3b7b6683a	TRUE	NA
gs://pre-cawg/staging_20260511/epigenomics/metadata/human-precovid-sed-adu_t11-adipose_epigen-methylcap-seq_metadata_features_v1.4.txt	NA	ADDED	NA	1.4	0	233c8753d0d91bc6414f4e650e23801a	233c8753d0d91bc6414f4e650e23801a	TRUE	NA
gs://pre-cawg/staging_20260511/metabolomics-targeted/metadata/human-precovid-sed-adu_t02-plasma_metab-t-amines_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-targeted/metadata/human-precovid-sed-adu_t02-plasma_metab-t-amines_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	e83d0d34a12d25f2b0ca2ebf945172b4	e83d0d34a12d25f2b0ca2ebf945172b4	TRUE	TRUE
gs://pre-cawg/staging_20260511/metabolomics-targeted/metadata/human-precovid-sed-adu_t02-plasma_metab-t-conv_metadata_features_v1.4.txt	gs://motrpac-data-hub/analysis/human-precovid-sed-adu/v1.3/metabolomics-targeted/metadata/human-precovid-sed-adu_t02-plasma_metab-t-conv_metadata_features_v1.3.txt	MODIFIED	1.3	1.4	0	d752fec73ff162f9061b35983b141bf4	d752fec73ff162f9061b35983b141bf4	TRUE	TRUE
